anio;trimestre;sk_shipper;nombre_shipper;telefono_shipper;pais_destino;region_destino;ciudad_destino;envios_realizados;costo_flete_total;costo_flete_promedio;volumen_productos_enviados;ventas_totales_asociadas;ratio_flete_vs_ventas;densidad_poblacion_promedio;pib_promedio_destino;ranking_eficiencia_costo;ranking_volumen_trimestre
1996;3;14;United Package;(503) 555-3199;Italy;;Bergamo;1;35.36;35.36;50;608.00;5.82;206;0;16;30
1996;3;14;United Package;(503) 555-3199;Germany;;Frankfurt a.M.;1;25.83;25.83;15;351.00;7.36;240;0;17;49
1996;3;15;Federal Shipping;(503) 555-9931;Finland;;Oulu;1;25.73;25.73;12;346.56;7.42;18;0;18;53
1996;3;15;Federal Shipping;(503) 555-9931;Mexico;;México D.F.;4;122.12;30.53;75;1458.30;8.37;66;0;19;19
1996;3;13;Speedy Express;(503) 555-9831;France;;Strasbourg;1;110.56;110.56;50;1176.00;9.40;119;0;20;30
1996;3;14;United Package;(503) 555-3199;United States;WY;Lander;1;4.54;4.54;24;48.00;9.46;36;0;21;44
1996;3;15;Federal Shipping;(503) 555-9931;United Kingdom;;London;1;45.54;45.54;39;479.40;9.50;281;0;22;37
1996;3;14;United Package;(503) 555-3199;Germany;;Stuttgart;2;251.2;125.6;88;2369.80;10.60;240;0;23;13
1996;3;14;United Package;(503) 555-3199;Brazil;RJ;Rio de Janeiro;5;456.82;91.36;283;4292.42;10.64;25;0;24;2
1996;3;15;Federal Shipping;(503) 555-9931;Venezuela;DF;Caracas;1;132.58;132.58;14;1101.20;12.04;32;0;25;50
1996;3;14;United Package;(503) 555-3199;Germany;;Cunewalde;2;232.45;116.23;133;1925.76;12.07;240;0;26;7
1996;3;14;United Package;(503) 555-3199;Switzerland;;Bern;1;68.94;68.94;57;556.62;12.39;219;0;27;27
1996;3;15;Federal Shipping;(503) 555-9931;United States;NM;Albuquerque;2;445.17;222.59;109;3419.00;13.02;36;0;28;11
1996;3;13;Speedy Express;(503) 555-9831;Republic of Ireland;Co. Cork;Cork;1;236.5;236.5;75;1762.00;13.42;72;0;29;19
1996;3;13;Speedy Express;(503) 555-9831;Spain;;Madrid;2;34.2;17.1;19;241.90;14.14;94;0;30;47
1996;3;13;Speedy Express;(503) 555-9831;Germany;;Köln;1;220.36;220.36;102;1504.65;14.65;240;0;31;12
1996;3;13;Speedy Express;(503) 555-9831;Brazil;SP;Sao Paulo;1;318.8;318.8;60;2169.00;14.70;25;0;32;25
1996;3;14;United Package;(503) 555-3199;United Kingdom;Isle of Wight;Cowes;1;83.52;83.52;44;516.80;16.16;281;0;33;34
1996;3;15;Federal Shipping;(503) 555-9931;Germany;;Cunewalde;2;838.83;419.41;292;5053.28;16.60;240;0;34;1
1996;3;13;Speedy Express;(503) 555-9831;Germany;;München;1;625.74;625.74;135;3536.60;17.69;240;0;35;6
1996;3;15;Federal Shipping;(503) 555-9931;France;;Nantes;1;49.38;49.38;13;268.80;18.37;119;0;36;51
1996;3;13;Speedy Express;(503) 555-9831;Italy;;Bergamo;1;53.86;53.86;18;291.84;18.46;206;0;37;48
1996;3;13;Speedy Express;(503) 555-9831;Italy;;Reggio Emilia;1;14.9;14.9;13;80.10;18.60;206;0;38;51
1996;3;13;Speedy Express;(503) 555-9831;France;;Lyon;1;124.02;124.02;41;654.06;18.96;119;0;39;36
1996;3;13;Speedy Express;(503) 555-9831;Finland;;Oulu;1;273.08;273.08;55;1376.00;19.85;18;0;40;29
1996;3;14;United Package;(503) 555-3199;Mexico;;México D.F.;1;191.37;191.37;42;954.40;20.05;66;0;41;35
1996;3;15;Federal Shipping;(503) 555-9931;United States;AK;Anchorage;1;772.86;772.86;80;3741.30;20.66;36;0;42;15
1996;3;15;Federal Shipping;(503) 555-9931;Germany;;Leipzig;1;251.54;251.54;32;1200.80;20.95;240;0;43;38
1996;3;15;Federal Shipping;(503) 555-9931;Venezuela;Táchira;San Cristóbal;1;245.73;245.73;46;1119.90;21.94;32;0;44;33
1996;3;15;Federal Shipping;(503) 555-9931;France;;Reims;1;97.14;97.14;27;440.00;22.08;119;0;45;40
1996;3;14;United Package;(503) 555-3199;United States;NM;Albuquerque;3;1252.87;417.62;240;5437.90;23.04;36;0;46;3
1996;3;15;Federal Shipping;(503) 555-9931;Switzerland;;Genève;1;593.32;593.32;110;2490.50;23.82;219;0;47;10
1996;3;15;Federal Shipping;(503) 555-9931;Venezuela;Lara;Barquisimeto;1;339.24;339.24;76;1414.80;23.98;32;0;48;18
1996;3;14;United Package;(503) 555-3199;Sweden;;Luleå;1;370.76;370.76;64;1488.80;24.90;25;0;49;22
1996;3;14;United Package;(503) 555-3199;Republic of Ireland;Co. Cork;Cork;1;672.88;672.88;125;2645.00;25.44;72;0;50;8
1996;3;13;Speedy Express;(503) 555-9831;Austria;;Graz;1;421.53;421.53;121;1614.88;26.10;109;0;51;9
1996;3;13;Speedy Express;(503) 555-9831;Germany;;Frankfurt a.M.;1;306.24;306.24;61;1170.38;26.17;240;0;52;24
1996;3;14;United Package;(503) 555-3199;Spain;;Sevilla;1;323.49;323.49;85;1117.80;28.94;94;0;53;14
1996;3;15;Federal Shipping;(503) 555-9931;Austria;;Graz;1;584.24;584.24;184;1873.80;31.18;109;0;54;5
1996;4;14;United Package;(503) 555-3199;Switzerland;;Bern;1;3.51;3.51;65;1117.60;0.31;219;0;1;34
1996;4;13;Speedy Express;(503) 555-9831;Venezuela;Lara;Barquisimeto;1;25.5;25.5;75;1649.00;1.55;32;0;2;29
1996;4;15;Federal Shipping;(503) 555-9931;Poland;;Warszawa;1;7.88;7.88;45;459.00;1.72;124;0;3;41
1996;4;14;United Package;(503) 555-3199;United States;WA;Seattle;1;46.58;46.58;105;2296.00;2.03;36;0;4;19
1996;4;15;Federal Shipping;(503) 555-9931;Finland;;Oulu;2;36.34;18.17;90;1393.20;2.61;18;0;5;22
1996;4;14;United Package;(503) 555-3199;United Kingdom;Isle of Wight;Cowes;2;12.89;6.45;36;384.40;3.35;281;0;6;44
1996;4;14;United Package;(503) 555-3199;Canada;Québec;Montréal;3;225.89;75.3;216;5539.88;4.08;4;0;7;7
1996;4;15;Federal Shipping;(503) 555-9931;Brazil;SP;Sao Paulo;2;40.38;20.19;95;980.42;4.12;25;0;8;21
1996;4;15;Federal Shipping;(503) 555-9931;Sweden;;Bräcke;1;5.44;5.44;6;103.20;5.27;25;0;9;57
1996;4;14;United Package;(503) 555-3199;Portugal;;Lisboa;1;15.51;15.51;18;285.12;5.44;111;0;10;53
1996;4;14;United Package;(503) 555-3199;Mexico;;México D.F.;1;22;22;24;403.20;5.46;66;0;11;49
1996;4;13;Speedy Express;(503) 555-9831;United States;WY;Lander;1;8.63;8.63;24;141.60;6.09;36;0;12;49
1996;4;15;Federal Shipping;(503) 555-9931;Denmark;;Århus;2;163.64;81.82;215;2599.80;6.29;137;0;13;8
1996;4;14;United Package;(503) 555-3199;Germany;;Stuttgart;2;111.69;55.85;102;1470.00;7.60;240;0;14;20
1996;4;14;United Package;(503) 555-3199;Republic of Ireland;Co. Cork;Cork;1;168.44;168.44;86;2036.16;8.27;72;0;15;26
1996;4;15;Federal Shipping;(503) 555-9931;Austria;;Salzburg;2;843.72;421.86;112;10033.28;8.41;109;0;16;15
1996;4;15;Federal Shipping;(503) 555-9931;Venezuela;Lara;Barquisimeto;2;112.63;56.32;68;1279.68;8.80;32;0;17;33
1996;4;13;Speedy Express;(503) 555-9831;Germany;;Brandenburg;1;14.64;14.64;13;164.40;8.91;240;0;18;56
1996;4;15;Federal Shipping;(503) 555-9931;France;;Strasbourg;1;658.5;658.5;138;7390.20;8.91;119;0;19;13
1996;4;14;United Package;(503) 555-3199;Canada;BC;Tsawassen;1;189.68;189.68;81;1832.80;10.35;4;0;20;27
1996;4;13;Speedy Express;(503) 555-9831;United Kingdom;;London;2;248.52;124.26;110;2178.80;11.41;281;0;21;16
1996;4;15;Federal Shipping;(503) 555-9931;United Kingdom;Essex;Colchester;1;102.72;102.72;55;899.00;11.43;281;0;22;37
1996;4;13;Speedy Express;(503) 555-9831;France;;Toulouse;2;59.37;29.69;46;502.36;11.82;119;0;23;40
1996;4;14;United Package;(503) 555-3199;France;;Lyon;1;17.12;17.12;18;144.80;11.82;119;0;24;53
1996;4;14;United Package;(503) 555-3199;United States;OR;Elgin;1;40.24;40.24;25;338.00;11.91;36;0;25;48
1996;4;14;United Package;(503) 555-3199;Germany;;München;1;219.32;219.32;160;1840.64;11.92;240;0;26;11
1996;4;15;Federal Shipping;(503) 555-9931;United States;OR;Elgin;1;60.68;60.68;20;442.00;13.73;36;0;27;51
1996;4;13;Speedy Express;(503) 555-9831;Sweden;;Bräcke;1;253.44;253.44;140;1810.00;14.00;25;0;28;12
1996;4;15;Federal Shipping;(503) 555-9931;Republic of Ireland;Co. Cork;Cork;2;388.36;194.18;204;2680.22;14.49;72;0;29;9
1996;4;14;United Package;(503) 555-3199;Spain;;Barcelona;1;40.56;40.56;20;272.00;14.91;94;0;30;51
1996;4;15;Federal Shipping;(503) 555-9931;Sweden;;Luleå;1;337.28;337.28;43;2222.40;15.18;25;0;31;43
1996;4;15;Federal Shipping;(503) 555-9931;Denmark;;Kobenhavn;1;53.56;53.56;17;352.60;15.19;137;0;32;55
1996;4;13;Speedy Express;(503) 555-9831;Brazil;RJ;Rio de Janeiro;1;135.09;135.09;44;863.28;15.65;25;0;33;42
1996;4;13;Speedy Express;(503) 555-9831;Austria;;Graz;3;1628.69;542.9;454;10389.61;15.68;109;0;34;1
1996;4;15;Federal Shipping;(503) 555-9931;United States;ID;Boise;2;811.12;405.56;326;5062.55;16.02;36;0;35;2
1996;4;15;Federal Shipping;(503) 555-9931;Mexico;;México D.F.;3;301.5;100.5;88;1872.00;16.11;66;0;36;25
1996;4;14;United Package;(503) 555-3199;United States;WY;Lander;3;1250.92;416.97;126;7660.03;16.33;36;0;37;14
1996;4;13;Speedy Express;(503) 555-9831;Portugal;;Lisboa;1;120.52;120.52;28;716.72;16.82;111;0;38;47
1996;4;13;Speedy Express;(503) 555-9831;United Kingdom;Essex;Colchester;1;83.9;83.9;50;480.00;17.48;281;0;39;38
1996;4;15;Federal Shipping;(503) 555-9931;United States;NM;Albuquerque;1;284.16;284.16;56;1618.88;17.55;36;0;40;36
1996;4;15;Federal Shipping;(503) 555-9931;United States;AK;Anchorage;1;168.42;168.42;35;934.50;18.02;36;0;41;45
1996;4;15;Federal Shipping;(503) 555-9931;Germany;;Aachen;2;97.07;48.54;62;533.60;18.19;240;0;42;35
1996;4;13;Speedy Express;(503) 555-9831;France;;Marseille;2;298.31;149.16;109;1638.10;18.21;119;0;43;17
1996;4;14;United Package;(503) 555-3199;France;;Toulouse;1;128.38;128.38;33;642.06;20.00;119;0;44;46
1996;4;15;Federal Shipping;(503) 555-9931;Portugal;;Lisboa;2;263.69;131.85;89;1304.30;20.22;111;0;45;24
1996;4;13;Speedy Express;(503) 555-9831;United States;ID;Boise;1;1071.35;1071.35;241;5275.72;20.31;36;0;46;6
1996;4;15;Federal Shipping;(503) 555-9931;France;;Marseille;1;498.93;498.93;72;2436.18;20.48;119;0;47;30
1996;4;13;Speedy Express;(503) 555-9831;Germany;;Frankfurt a.M.;1;331.11;331.11;69;1584.00;20.90;240;0;48;32
1996;4;15;Federal Shipping;(503) 555-9931;United Kingdom;;London;2;909.71;454.86;246;4335.28;20.98;281;0;49;5
1996;4;15;Federal Shipping;(503) 555-9931;Germany;;Brandenburg;1;324.3;324.3;71;1497.00;21.66;240;0;50;31
1996;4;15;Federal Shipping;(503) 555-9931;Germany;;München;2;947.35;473.68;258;4370.80;21.67;240;0;51;4
1996;4;14;United Package;(503) 555-3199;Germany;;Cunewalde;2;1113.52;556.76;268;4971.04;22.40;240;0;52;3
1996;4;14;United Package;(503) 555-3199;Spain;;Madrid;1;233.76;233.76;90;982.00;23.80;94;0;53;22
1996;4;14;United Package;(503) 555-3199;Austria;;Graz;1;407.8;407.8;78;1689.78;24.13;109;0;54;28
1996;4;13;Speedy Express;(503) 555-9831;Venezuela;Táchira;San Cristóbal;1;553.23;553.23;106;2122.92;26.06;32;0;55;18
1996;4;14;United Package;(503) 555-3199;Norway;;Stavern;1;374.52;374.52;48;1058.40;35.39;15;0;56;39
1996;4;14;United Package;(503) 555-3199;Brazil;SP;Sao Paulo;1;3563.12;3563.12;164;9210.90;38.68;25;0;57;10
1997;1;14;United Package;(503) 555-3199;France;;Lille;1;2.7;2.7;42;756.00;0.36;119;0;1;55
1997;1;13;Speedy Express;(503) 555-9831;United States;OR;Elgin;1;0.4;0.4;22;102.40;0.39;36;0;2;69
1997;1;14;United Package;(503) 555-3199;Germany;;München;1;9.86;9.86;50;1512.00;0.65;240;0;3;45
1997;1;13;Speedy Express;(503) 555-9831;Germany;;Brandenburg;1;11.57;11.57;36;1584.00;0.73;240;0;4;59
1997;1;15;Federal Shipping;(503) 555-9931;France;;Lyon;1;4.81;4.81;20;471.20;1.02;119;0;5;71
1997;1;13;Speedy Express;(503) 555-9831;United States;NM;Albuquerque;1;50.04;50.04;168;3868.60;1.29;36;0;6;7
1997;1;15;Federal Shipping;(503) 555-9931;Sweden;;Luleå;1;14;14;63;1031.70;1.36;25;0;7;37
1997;1;15;Federal Shipping;(503) 555-9931;Canada;Québec;Montréal;1;16.28;16.28;67;1078.00;1.51;4;0;8;35
1997;1;13;Speedy Express;(503) 555-9831;United Kingdom;;London;2;20.74;10.37;120;1192.80;1.74;281;0;9;22
1997;1;14;United Package;(503) 555-3199;United States;WY;Lander;1;8.68;8.68;50;485.00;1.79;36;0;10;45
1997;1;13;Speedy Express;(503) 555-9831;France;;Lille;1;33.78;33.78;51;1622.40;2.08;119;0;11;44
1997;1;15;Federal Shipping;(503) 555-9931;France;;Toulouse;1;8.22;8.22;50;331.20;2.48;119;0;12;45
1997;1;15;Federal Shipping;(503) 555-9931;Denmark;;Kobenhavn;1;281.16;281.16;123;11188.40;2.51;137;0;13;21
1997;1;14;United Package;(503) 555-3199;Germany;;Brandenburg;1;16.24;16.24;61;557.60;2.91;240;0;14;38
1997;1;14;United Package;(503) 555-3199;Austria;;Salzburg;2;41.87;20.94;68;1090.20;3.84;109;0;15;33
1997;1;13;Speedy Express;(503) 555-9831;Germany;;Cunewalde;1;70.2;70.2;146;1814.80;3.87;240;0;16;11
1997;1;14;United Package;(503) 555-3199;United States;AK;Anchorage;1;73.02;73.02;50;1755.00;4.16;36;0;17;45
1997;1;14;United Package;(503) 555-3199;Italy;;Bergamo;1;9.86;9.86;40;235.20;4.19;206;0;18;56
1997;1;15;Federal Shipping;(503) 555-9931;Canada;BC;Tsawassen;2;75.75;37.88;139;1768.80;4.28;4;0;19;14
1997;1;14;United Package;(503) 555-3199;France;;Lyon;2;89.73;44.87;102;2084.32;4.31;119;0;20;27
1997;1;14;United Package;(503) 555-3199;United Kingdom;;London;1;27.63;27.63;32;631.60;4.37;281;0;21;61
1997;1;14;United Package;(503) 555-3199;United States;WA;Seattle;1;30.56;30.56;65;668.80;4.57;36;0;22;36
1997;1;15;Federal Shipping;(503) 555-9931;Brazil;SP;Campinas;1;49;49;34;1020.00;4.80;25;0;23;60
1997;1;15;Federal Shipping;(503) 555-9931;Venezuela;Táchira;San Cristóbal;1;8.82;8.82;14;180.48;4.89;32;0;24;73
1997;1;13;Speedy Express;(503) 555-9831;Finland;;Oulu;1;19.97;19.97;15;393.00;5.08;18;0;25;72
1997;1;15;Federal Shipping;(503) 555-9931;United States;WA;Walla Walla;1;7.48;7.48;10;147.00;5.09;36;0;26;74
1997;1;14;United Package;(503) 555-3199;Germany;;Münster;1;24.72;24.72;50;454.00;5.44;240;0;27;45
1997;1;13;Speedy Express;(503) 555-9831;Italy;;Reggio Emilia;2;38.99;19.49;38;709.44;5.50;206;0;28;58
1997;1;13;Speedy Express;(503) 555-9831;Italy;;Torino;1;3.02;3.02;2;49.80;6.06;206;0;29;75
1997;1;14;United Package;(503) 555-3199;Austria;;Graz;2;279.58;139.79;295;4505.50;6.21;109;0;30;1
1997;1;14;United Package;(503) 555-3199;Canada;BC;Tsawassen;1;132.51;132.51;130;1892.25;7.00;4;0;31;17
1997;1;14;United Package;(503) 555-3199;United States;ID;Boise;1;346.12;346.12;208;4924.14;7.03;36;0;32;4
1997;1;15;Federal Shipping;(503) 555-9931;United Kingdom;;London;3;363.61;121.2;163;4777.20;7.61;281;0;33;9
1997;1;14;United Package;(503) 555-3199;Republic of Ireland;Co. Cork;Cork;1;113.26;113.26;75;1441.38;7.86;72;0;34;32
1997;1;13;Speedy Express;(503) 555-9831;Venezuela;Nueva Esparta;I. de Margarita;1;34.82;34.82;50;400.00;8.71;32;0;35;45
1997;1;15;Federal Shipping;(503) 555-9931;Finland;;Oulu;1;68.16;68.16;50;720.00;9.47;18;0;36;45
1997;1;15;Federal Shipping;(503) 555-9931;Portugal;;Lisboa;2;107.75;53.88;50;1110.71;9.70;111;0;37;45
1997;1;13;Speedy Express;(503) 555-9831;Brazil;SP;Resende;1;176.48;176.48;50;1707.84;10.33;25;0;38;45
1997;1;13;Speedy Express;(503) 555-9831;Sweden;;Luleå;1;18.6;18.6;21;174.90;10.63;25;0;39;70
1997;1;14;United Package;(503) 555-3199;France;;Marseille;1;193.68;193.68;53;1820.80;10.64;119;0;40;43
1997;1;13;Speedy Express;(503) 555-9831;Spain;;Barcelona;1;74.76;74.76;24;676.40;11.05;94;0;41;64
1997;1;14;United Package;(503) 555-3199;Sweden;;Bräcke;1;35.84;35.84;24;321.12;11.16;25;0;42;64
1997;1;14;United Package;(503) 555-3199;Canada;Québec;Montréal;1;1111.83;1111.83;139;9194.56;12.09;4;0;43;14
1997;1;14;United Package;(503) 555-3199;France;;Toulouse;2;302.84;151.42;108;2483.20;12.20;119;0;44;25
1997;1;15;Federal Shipping;(503) 555-9931;Germany;;Brandenburg;1;88.24;88.24;23;717.60;12.30;240;0;45;68
1997;1;14;United Package;(503) 555-3199;United Kingdom;Essex;Colchester;1;50.72;50.72;40;407.70;12.44;281;0;46;56
1997;1;14;United Package;(503) 555-3199;Switzerland;;Genève;1;274.7;274.7;80;2097.60;13.10;219;0;47;30
1997;1;13;Speedy Express;(503) 555-9831;Belgium;;Charleroi;1;205.56;205.56;137;1505.18;13.66;383;0;48;16
1997;1;13;Speedy Express;(503) 555-9831;United States;ID;Boise;1;280.52;280.52;115;2018.50;13.90;36;0;49;24
1997;1;14;United Package;(503) 555-3199;Brazil;RJ;Rio de Janeiro;2;334.64;167.32;141;2386.40;14.02;25;0;50;13
1997;1;15;Federal Shipping;(503) 555-9931;United Kingdom;Isle of Wight;Cowes;1;32.74;32.74;24;230.40;14.21;281;0;51;64
1997;1;14;United Package;(503) 555-3199;Venezuela;Nueva Esparta;I. de Margarita;1;257.8;257.8;130;1584.00;16.28;32;0;52;17
1997;1;14;United Package;(503) 555-3199;Venezuela;Táchira;San Cristóbal;2;722.16;361.08;172;4435.20;16.28;32;0;53;6
1997;1;15;Federal Shipping;(503) 555-9931;Belgium;;Charleroi;2;764.86;382.43;216;4604.30;16.61;383;0;54;3
1997;1;15;Federal Shipping;(503) 555-9931;Austria;;Graz;1;147.58;147.58;91;855.02;17.26;109;0;55;29
1997;1;14;United Package;(503) 555-3199;Argentina;;Buenos Aires;1;77.64;77.64;26;443.40;17.51;17;0;56;62
1997;1;14;United Package;(503) 555-3199;Portugal;;Lisboa;2;395.06;197.53;125;2167.28;18.23;111;0;57;20
1997;1;13;Speedy Express;(503) 555-9831;Sweden;;Bräcke;1;32.54;32.54;25;176.10;18.48;25;0;58;63
1997;1;13;Speedy Express;(503) 555-9831;Argentina;;Buenos Aires;1;59.66;59.66;24;319.20;18.69;17;0;59;64
1997;1;13;Speedy Express;(503) 555-9831;United States;WA;Seattle;1;180.54;180.54;77;956.68;18.87;36;0;60;31
1997;1;15;Federal Shipping;(503) 555-9931;Brazil;SP;Sao Paulo;1;42.96;42.96;68;224.83;19.11;25;0;61;33
1997;1;15;Federal Shipping;(503) 555-9931;Germany;;Cunewalde;1;756.36;756.36;238;3849.66;19.65;240;0;62;2
1997;1;14;United Package;(503) 555-3199;France;;Strasbourg;2;786.54;393.27;168;3832.72;20.52;119;0;63;7
1997;1;14;United Package;(503) 555-3199;Germany;;Köln;1;274.44;274.44;60;1194.00;22.98;240;0;64;40
1997;1;13;Speedy Express;(503) 555-9831;Germany;;Münster;1;58.72;58.72;50;246.24;23.85;240;0;65;45
1997;1;14;United Package;(503) 555-3199;Brazil;SP;Sao Paulo;1;213.21;213.21;59;889.70;23.96;25;0;66;41
1997;1;14;United Package;(503) 555-3199;Finland;;Oulu;2;725.57;362.78;145;3018.80;24.04;18;0;67;12
1997;1;14;United Package;(503) 555-3199;Mexico;;México D.F.;1;333.96;333.96;61;1249.10;26.74;66;0;68;38
1997;1;15;Federal Shipping;(503) 555-9931;United States;NM;Albuquerque;1;2835.8;2835.8;148;10495.60;27.02;36;0;69;10
1997;1;13;Speedy Express;(503) 555-9831;Brazil;SP;Sao Paulo;2;564.06;282.03;104;2046.78;27.56;25;0;70;26
1997;1;15;Federal Shipping;(503) 555-9931;Denmark;;Århus;1;725.2;725.2;118;2518.00;28.80;137;0;71;23
1997;1;15;Federal Shipping;(503) 555-9931;Venezuela;Lara;Barquisimeto;1;445.83;445.83;128;1538.70;28.97;32;0;72;19
1997;1;13;Speedy Express;(503) 555-9831;Italy;;Bergamo;1;467.91;467.91;100;1591.25;29.41;206;0;73;28
1997;1;13;Speedy Express;(503) 555-9831;Brazil;RJ;Rio de Janeiro;1;396.92;396.92;59;1194.27;33.24;25;0;74;41
1997;1;13;Speedy Express;(503) 555-9831;Austria;;Graz;1;1835.12;1835.12;195;4899.20;37.46;109;0;75;5
1997;2;13;Speedy Express;(503) 555-9831;Germany;;Mannheim;1;0.15;0.15;3;136.80;0.11;240;0;1;67
1997;2;13;Speedy Express;(503) 555-9831;Brazil;SP;Sao Paulo;1;3.01;3.01;50;310.00;0.97;25;0;2;38
1997;2;13;Speedy Express;(503) 555-9831;Denmark;;Kobenhavn;1;9.8;9.8;24;835.20;1.17;137;0;3;55
1997;2;14;United Package;(503) 555-3199;Germany;;Münster;1;2.86;2.86;24;240.10;1.19;240;0;4;55
1997;2;14;United Package;(503) 555-3199;Republic of Ireland;Co. Cork;Cork;1;33.48;33.48;90;2048.50;1.63;72;0;5;25
1997;2;14;United Package;(503) 555-3199;Canada;Québec;Montréal;1;14.3;14.3;43;639.90;2.23;4;0;6;44
1997;2;15;Federal Shipping;(503) 555-9931;Spain;;Sevilla;1;17.28;17.28;34;683.30;2.53;94;0;7;50
1997;2;14;United Package;(503) 555-3199;United States;OR;Eugene;1;10.05;10.05;20;392.20;2.56;36;0;8;57
1997;2;14;United Package;(503) 555-3199;France;;Marseille;1;22.12;22.12;45;818.40;2.70;119;0;9;42
1997;2;15;Federal Shipping;(503) 555-9931;United States;NM;Albuquerque;1;41.25;41.25;47;1234.05;3.34;36;0;10;41
1997;2;13;Speedy Express;(503) 555-9831;Republic of Ireland;Co. Cork;Cork;1;101.91;101.91;103;2519.00;4.05;72;0;11;20
1997;2;14;United Package;(503) 555-3199;Germany;;Köln;1;9.98;9.98;20;240.00;4.16;240;0;12;57
1997;2;15;Federal Shipping;(503) 555-9931;Spain;;Barcelona;1;13.08;13.08;10;310.00;4.22;94;0;13;65
1997;2;15;Federal Shipping;(503) 555-9931;Germany;;Brandenburg;1;21.9;21.9;39;469.11;4.67;240;0;14;45
1997;2;15;Federal Shipping;(503) 555-9931;Canada;BC;Vancouver;1;13.95;13.95;35;278.00;5.02;4;0;15;47
1997;2;15;Federal Shipping;(503) 555-9931;France;;Toulouse;1;31.92;31.92;35;608.40;5.25;119;0;16;47
1997;2;14;United Package;(503) 555-3199;United States;WA;Walla Walla;1;11.92;11.92;10;210.00;5.68;36;0;17;65
1997;2;15;Federal Shipping;(503) 555-9931;Germany;;Mannheim;1;8.85;8.85;20;149.00;5.94;240;0;18;57
1997;2;13;Speedy Express;(503) 555-9831;Germany;;München;1;73.3;73.3;35;1072.43;6.83;240;0;19;47
1997;2;13;Speedy Express;(503) 555-9831;Argentina;;Buenos Aires;1;8.12;8.12;2;110.00;7.38;17;0;20;68
1997;2;14;United Package;(503) 555-3199;Brazil;SP;Sao Paulo;3;126.88;42.29;87;1627.30;7.80;25;0;21;26
1997;2;13;Speedy Express;(503) 555-9831;Germany;;Frankfurt a.M.;2;289.95;144.98;173;3698.84;7.84;240;0;22;7
1997;2;15;Federal Shipping;(503) 555-9931;Republic of Ireland;Co. Cork;Cork;1;188.34;188.34;125;2381.05;7.91;72;0;23;17
1997;2;14;United Package;(503) 555-3199;United States;CA;San Francisco;1;27.46;27.46;31;317.75;8.64;36;0;24;52
1997;2;13;Speedy Express;(503) 555-9831;Italy;;Reggio Emilia;1;45.9;45.9;30;488.70;9.39;206;0;25;53
1997;2;15;Federal Shipping;(503) 555-9931;Austria;;Graz;1;52.12;52.12;39;550.59;9.47;109;0;26;45
1997;2;14;United Package;(503) 555-3199;Germany;;Brandenburg;1;42.38;42.38;32;415.80;10.19;240;0;27;51
1997;2;14;United Package;(503) 555-3199;Venezuela;Lara;Barquisimeto;2;300.38;150.19;145;2916.50;10.30;32;0;28;11
1997;2;13;Speedy Express;(503) 555-9831;Mexico;;México D.F.;3;365.42;121.81;167;3506.21;10.42;66;0;29;8
1997;2;15;Federal Shipping;(503) 555-9931;Mexico;;México D.F.;2;310.2;155.1;134;2920.45;10.62;66;0;30;14
