sk_venta;sk_cliente;sk_producto;sk_empleado;sk_tiempo;sk_geografia_envio;sk_shipper;precio_unitario;cantidad;descuento;flete;monto_total;nk_orden_id
4487;234;222;20;19960917;325;14;10.00;3;0;0.56;30.00;10307
4488;188;223;25;19960918;340;15;28.80;1;0;1.61;28.80;10308
4489;188;224;25;19960918;340;15;12.00;5;0;1.61;60.00;10308
4490;223;158;21;19960919;323;13;17.60;20;0;47.3;352.00;10309
4491;223;160;21;19960919;323;13;20.00;30;0;47.3;600.00;10309
4492;223;196;21;19960919;323;13;11.20;2;0;47.3;22.40;10309
4493;223;197;21;19960919;323;13;36.80;20;0;47.3;736.00;10309
4494;223;225;21;19960919;323;13;17.20;3;0;47.3;51.60;10309
4495;263;170;26;19960920;326;14;13.90;10;0;17.52;139.00;10310
4496;263;216;26;19960920;326;14;39.40;5;0;17.52;197.00;10310
4497;204;196;19;19960920;316;15;11.20;6;0;24.69;67.20;10311
4498;204;223;19;19960920;316;15;28.80;7;0;24.69;201.60;10311
4499;272;182;20;19960923;331;14;36.40;4;0;40.26;145.60;10312
4500;272;197;20;19960923;331;14;36.80;24;0;40.26;883.20;10312
4501;272;207;20;19960923;331;14;26.20;20;0;40.26;524.00;10312
4502;272;229;20;19960923;331;14;6.20;10;0;40.26;62.00;10312
4503;249;190;20;19960924;402;14;15.20;12;0;1.96;182.40;10313
4504;251;186;19;19960925;299;14;25.60;40;0.1;74.16;921.60;10314
4505;251;212;19;19960925;299;14;10.60;30;0.1;74.16;286.20;10314
4506;251;216;19;19960925;299;14;39.40;25;0.1;74.16;886.50;10314
4507;224;188;22;19960926;366;14;11.20;14;0;41.76;156.80;10315
4508;224;224;22;19960926;366;14;12.00;30;0;41.76;360.00;10315
4509;251;195;19;19960927;299;15;7.70;10;0;150.15;77.00;10316
4510;251;216;19;19960927;299;15;39.40;70;0;150.15;2758.00;10316
4511;234;155;24;19960930;325;13;14.40;20;0;12.69;288.00;10317
4512;224;195;26;19961001;366;14;7.70;20;0;4.73;154.00;10318
4513;224;230;26;19961001;366;14;14.40;6;0;4.73;86.40;10318
4514;266;171;25;19961002;339;15;31.20;8;0;64.5;249.60;10319
4515;266;182;25;19961002;339;15;36.40;14;0;64.5;509.60;10319
4516;266;230;25;19961002;339;15;14.40;30;0;64.5;432.00;10319
4517;273;225;23;19961003;404;15;17.20;30;0;34.57;516.00;10320
4518;224;189;21;19961003;366;14;14.40;10;0;3.43;144.00;10321
4519;244;206;25;19961004;353;15;5.60;20;0;0.4;112.00;10322
4520;225;169;22;19961007;383;13;12.40;5;0;4.88;62.00;10323
4521;225;179;22;19961007;383;13;11.20;4;0;4.88;44.80;10323
4522;225;193;22;19961007;383;13;14.40;4;0;4.88;57.60;10323
4523;257;170;27;19961008;286;13;13.90;21;0.15;214.27;248.12;10324
4524;257;189;27;19961008;286;13;14.40;70;0.15;214.27;856.80;10324
4525;257;200;27;19961008;286;13;9.60;30;0;214.27;288.00;10324
4526;257;213;27;19961008;286;13;44.00;40;0.15;214.27;1496.00;10324
4527;257;217;27;19961008;286;13;35.10;80;0.15;214.27;2386.80;10324
4528;225;160;19;19961009;383;15;20.00;6;0;64.86;120.00;10325
4529;225;167;19;19961009;383;15;4.80;12;0;64.86;57.60;10325
4530;225;168;19;19961009;383;15;18.60;9;0;64.86;167.40;10325
4531;225;185;19;19961009;383;15;10.00;4;0;64.86;40.00;10325
4532;225;226;19;19961009;383;15;27.80;40;0;64.86;1112.00;10325
4533;194;158;22;19961010;350;14;17.60;24;0;77.92;422.40;10326
4534;194;211;22;19961010;350;14;15.60;16;0;77.92;249.60;10326
4535;194;229;22;19961010;350;14;6.20;50;0;77.92;310.00;10326
4536;210;156;20;19961011;414;13;15.20;25;0.2;63.36;304.00;10327
4537;210;165;20;19961011;414;13;16.80;50;0.2;63.36;672.00;10327
4538;210;184;20;19961011;414;13;20.70;35;0.2;63.36;579.60;10327
4539;210;212;20;19961011;414;13;10.60;30;0.2;63.36;254.40;10327
4540;214;213;22;19961014;375;15;44.00;9;0;87.03;396.00;10328
4541;214;219;22;19961014;375;15;16.80;40;0;87.03;672.00;10328
4542;214;222;22;19961014;375;15;10.00;10;0;87.03;100.00;10328
4543;261;173;22;19961015;387;14;7.30;10;0.05;191.67;69.35;10329
4544;261;184;22;19961015;387;14;20.70;8;0.05;191.67;157.32;10329
4545;261;192;22;19961015;387;14;210.80;20;0.05;191.67;4005.20;10329
4546;261;210;22;19961015;387;14;30.40;12;0.05;191.67;346.56;10329
4547;232;180;21;19961016;356;13;24.90;50;0.15;12.75;1058.25;10330
4548;232;226;21;19961016;356;13;27.80;25;0.15;12.75;590.75;10330
4549;195;208;27;19961016;280;13;5.90;15;0;10.19;88.50;10331
4550;237;172;21;19961017;306;14;50.00;40;0.2;52.84;1600.00;10332
4551;237;196;21;19961017;306;14;11.20;10;0.2;52.84;89.60;10332
4552;237;201;21;19961017;306;14;7.60;16;0.2;52.84;97.28;10332
4553;273;168;23;19961018;404;15;18.60;10;0;0.59;186.00;10333
4554;273;175;23;19961018;404;15;8.00;10;0.1;0.59;72.00;10333
4555;273;225;23;19961018;404;15;17.20;40;0.1;0.59;619.20;10333
4556;270;206;26;19961021;288;14;5.60;8;0;8.56;44.80;10334
4557;270;222;26;19961021;288;14;10.00;10;0;8.56;100.00;10334
4558;223;156;25;19961022;323;14;15.20;7;0.2;42.11;85.12;10335
4559;223;185;25;19961022;323;14;10.00;25;0.2;42.11;200.00;10335
4560;223;186;25;19961022;323;14;25.60;6;0.2;42.11;122.88;10335
4561;223;205;25;19961022;323;14;42.40;48;0.2;42.11;1628.16;10335
4562;246;158;25;19961023;362;14;17.60;18;0.1;15.51;285.12;10336
4563;211;177;22;19961024;345;15;7.20;40;0;108.26;288.00;10337
4564;211;180;22;19961024;345;15;24.90;24;0;108.26;597.60;10337
4565;211;190;22;19961024;345;15;15.20;20;0;108.26;304.00;10337
4566;211;191;22;19961024;345;15;20.80;28;0;108.26;582.40;10337
4567;211;226;22;19961024;345;15;27.80;25;0;108.26;695.00;10337
4568;241;171;22;19961025;298;15;31.20;20;0;84.21;624.00;10338
4569;241;184;22;19961025;298;15;20.70;15;0;84.21;310.50;10338
4570;237;158;20;19961028;306;14;17.60;10;0;15.66;176.00;10339
4571;237;171;20;19961028;306;14;31.20;70;0.05;15.66;2074.80;10339
4572;237;216;20;19961028;306;14;39.40;28;0;15.66;1103.20;10339
4573;195;172;19;19961029;280;15;50.00;20;0.05;166.31;950.00;10340
4574;195;195;19;19961029;280;15;7.70;12;0.05;166.31;87.78;10340
4575;195;197;19;19961029;280;15;36.80;40;0.05;166.31;1398.40;10340
4576;259;187;25;19961029;411;15;2.00;8;0;26.78;16.00;10341
4577;259;213;25;19961029;411;15;44.00;9;0.15;26.78;336.60;10341
4578;211;156;22;19961030;345;14;15.20;24;0.2;54.83;291.84;10342
4579;211;185;22;19961030;345;14;10.00;56;0.2;54.83;448.00;10342
4580;211;190;22;19961030;345;14;15.20;40;0.2;54.83;486.40;10342
4581;211;209;22;19961030;345;14;19.20;40;0.2;54.83;614.40;10342
4582;230;218;22;19961031;381;13;26.60;50;0;110.37;1330.00;10343
4583;230;222;22;19961031;381;13;10.00;4;0.05;110.37;38.00;10343
4584;230;230;22;19961031;381;13;14.40;15;0;110.37;216.00;10343
4585;275;158;22;19961101;278;14;17.60;35;0;23.29;616.00;10344
4586;275;162;22;19961101;278;14;32.00;70;0.25;23.29;1680.00;10344
4587;249;162;20;19961104;402;14;32.00;70;0;249.06;2240.00;10345
4588;249;173;20;19961104;402;14;7.30;80;0;249.06;584.00;10345
4589;249;196;20;19961104;402;14;11.20;9;0;249.06;100.80;10345
4590;251;171;21;19961105;299;15;31.20;36;0.1;142.08;1010.88;10346
4591;251;210;21;19961105;299;15;30.40;20;0;142.08;608.00;10346
4592;207;179;22;19961106;391;15;11.20;10;0;3.1;112.00;10347
4593;207;193;22;19961106;391;15;14.40;50;0.15;3.1;612.00;10347
4594;207;194;22;19961106;391;15;14.70;4;0;3.1;58.80;10347
4595;207;229;22;19961106;391;15;6.20;6;0.15;3.1;31.62;10347
4596;272;155;22;19961107;331;14;14.40;15;0.15;0.78;183.60;10348
4597;272;177;22;19961107;331;14;7.20;25;0;0.78;180.00;10348
4598;261;208;25;19961108;387;13;5.90;24;0;8.63;141.60;10349
4599;227;204;24;19961111;277;14;13.00;15;0.1;64.19;175.50;10350
4600;227;223;24;19961111;277;14;28.80;18;0.1;64.19;466.56;10350
4601;206;192;19;19961111;378;13;210.80;20;0.05;162.33;4005.20;10351
4602;206;195;19;19961111;378;13;7.70;13;0;162.33;100.10;10351
4603;206;198;19;19961111;378;13;15.50;77;0.05;162.33;1133.83;10351
4604;206;219;19;19961111;378;13;16.80;10;0.05;162.33;159.60;10351
4605;214;178;21;19961112;375;15;3.60;10;0;1.3;36.00;10352
4606;214;208;21;19961112;375;15;5.90;20;0.15;1.3;100.30;10352
4607;245;165;25;19961113;367;15;16.80;12;0.2;360.63;161.28;10353
4608;245;192;25;19961113;367;15;210.80;50;0.2;360.63;8432.00;10353
4609;244;155;26;19961114;353;15;14.40;12;0;53.8;172.80;10354
4610;244;183;26;19961114;353;15;99.00;4;0;53.8;396.00;10354
4611;190;178;24;19961115;348;13;3.60;25;0;41.95;90.00;10355
4612;190;211;24;19961115;348;13;15.60;25;0;41.95;390.00;10355
4613;272;185;24;19961118;331;14;10.00;30;0;36.71;300.00;10356
4614;272;209;24;19961118;331;14;19.20;12;0;36.71;230.40;10356
4615;272;223;24;19961118;331;14;28.80;20;0;36.71;576.00;10356
4616;232;164;19;19961119;356;15;24.80;30;0.2;34.88;595.20;10357
4617;232;180;19;19961119;356;15;24.90;16;0;34.88;398.40;10357
4618;232;214;19;19961119;356;15;27.20;8;0.2;34.88;174.08;10357
4619;227;178;23;19961120;277;13;3.60;10;0.05;19.64;34.20;10358
4620;227;188;23;19961120;277;13;11.20;10;0.05;19.64;106.40;10358
4621;227;190;23;19961120;277;13;15.20;20;0.05;19.64;288.80;10358
4622;258;170;23;19961121;328;15;13.90;56;0.05;288.43;739.48;10359
4623;258;185;23;19961121;328;15;10.00;70;0.05;288.43;665.00;10359
4624;258;214;23;19961121;328;15;27.20;80;0.05;288.43;2067.20;10359
4625;193;182;22;19961122;294;15;36.40;30;0;131.7;1092.00;10360
4626;193;183;22;19961122;294;15;99.00;35;0;131.7;3465.00;10360
4627;193;192;22;19961122;294;15;210.80;10;0;131.7;2108.00;10360
4628;193;203;22;19961122;294;15;16.00;35;0;131.7;560.00;10360
4629;193;208;22;19961122;294;15;5.90;28;0;131.7;165.20;10360
4630;249;193;19;19961122;402;14;14.40;54;0.1;183.17;699.84;10361
4631;249;214;19;19961122;402;14;27.20;55;0.1;183.17;1346.40;10361
4632;195;179;21;19961125;280;13;11.20;50;0;96.04;560.00;10362
4633;195;205;21;19961125;280;13;42.40;20;0;96.04;848.00;10362
4634;195;208;21;19961125;280;13;5.90;24;0;96.04;141.60;10362
4635;203;185;22;19961126;412;15;10.00;20;0;30.54;200.00;10363
4636;203;229;22;19961126;412;15;6.20;12;0;30.54;74.40;10363
4637;203;230;22;19961126;412;15;14.40;12;0;30.54;172.80;10363
4638;205;223;19;19961126;304;13;28.80;30;0;71.97;864.00;10364
4639;205;225;19;19961126;304;13;17.20;5;0;71.97;86.00;10364
4640;189;165;21;19961127;382;14;16.80;24;0;22;403.20;10365
4641;215;219;26;19961128;389;14;16.80;5;0;10.14;84.00;10366
4642;215;219;26;19961128;390;14;16.80;5;0;10.14;84.00;10366
4643;215;231;26;19961128;389;14;10.40;5;0;10.14;52.00;10366
4644;215;231;26;19961128;390;14;10.40;5;0;10.14;52.00;10366
4645;269;188;25;19961128;398;15;11.20;36;0;13.55;403.20;10367
4646;269;208;25;19961128;398;15;5.90;18;0;13.55;106.20;10367
4647;269;219;25;19961128;398;15;16.80;15;0;13.55;252.00;10367
4648;269;231;25;19961128;398;15;10.40;7;0;13.55;72.80;10367
4649;206;175;20;19961129;378;14;8.00;5;0.1;101.95;36.00;10368
4650;206;182;20;19961129;378;14;36.40;13;0.1;101.95;425.88;10368
4651;206;211;20;19961129;378;14;15.60;25;0;101.95;390.00;10368
4652;206;218;20;19961129;378;14;26.60;35;0.1;101.95;837.90;10368
4653;261;183;26;19961202;387;14;99.00;20;0;195.68;1980.00;10369
4654;261;210;26;19961202;387;14;30.40;18;0.25;195.68;410.40;10369
4655;200;155;24;19961203;372;14;14.40;15;0.15;1.17;183.60;10370
4656;200;218;24;19961203;372;14;26.60;30;0;1.17;798.00;10370
4657;200;228;24;19961203;372;14;8.00;20;0.15;1.17;136.00;10370
4658;227;190;19;19961203;277;13;15.20;6;0.2;0.45;72.96;10371
4659;248;174;23;19961204;332;14;64.80;12;0.25;890.78;583.20;10372
4660;248;192;23;19961204;332;14;210.80;40;0.25;890.78;6324.00;10372
4661;248;214;23;19961204;332;14;27.20;70;0.25;890.78;1428.00;10372
4662;248;226;23;19961204;332;14;27.80;42;0.25;890.78;875.70;10372
4663;223;212;22;19961205;323;15;10.60;80;0.2;124.12;678.40;10373
4664;223;225;22;19961205;323;15;17.20;50;0.2;124.12;688.00;10373
4665;277;185;19;19961205;413;15;10.00;30;0;3.94;300.00;10374
4666;277;212;19;19961205;413;15;10.60;15;0;3.94;159.00;10374
4667;222;168;21;19961206;358;14;18.60;15;0;20.12;279.00;10375
4668;222;208;21;19961206;358;14;5.90;10;0;20.12;59.00;10375
4669;237;185;19;19961209;306;14;10.00;42;0.05;20.39;399.00;10376
4670;258;182;19;19961209;328;15;36.40;20;0.15;22.21;618.80;10377
4671;258;193;19;19961209;328;15;14.40;20;0.15;22.21;244.80;10377
4672;210;225;23;19961210;414;15;17.20;6;0;5.44;103.20;10378
4673;247;195;20;19961211;393;13;7.70;8;0.1;45.03;55.44;10379
4674;247;217;20;19961211;393;13;35.10;16;0.1;45.03;505.44;10379
4675;247;219;20;19961211;393;13;16.80;20;0.1;45.03;302.40;10379
4676;223;184;26;19961212;323;15;20.70;18;0.1;35.03;335.34;10380
4677;223;207;26;19961212;323;15;26.20;20;0.1;35.03;471.60;10380
4678;223;214;26;19961212;323;15;27.20;6;0.1;35.03;146.88;10380
4679;223;224;26;19961212;323;15;12.00;30;0;35.03;360.00;10380
4680;232;228;21;19961212;356;15;8.00;14;0;7.99;112.00;10381
4681;206;159;22;19961213;378;13;17.00;32;0;94.77;544.00;10382
4682;206;172;22;19961213;378;13;50.00;9;0;94.77;450.00;10382
4683;206;183;22;19961213;378;13;99.00;14;0;94.77;1386.00;10382
4684;206;187;22;19961213;378;13;2.00;60;0;94.77;120.00;10382
4685;206;228;22;19961213;378;13;8.00;50;0;94.77;400.00;10382
4686;190;167;26;19961216;348;15;4.80;20;0;34.24;96.00;10383
4687;190;204;26;19961216;348;15;13.00;15;0;34.24;195.00;10383
4688;190;210;26;19961216;348;15;30.40;20;0;34.24;608.00;10383
4689;191;174;21;19961216;343;15;64.80;28;0;168.64;1814.40;10384
4690;191;214;21;19961216;343;15;27.20;15;0;168.64;408.00;10384
4691;261;161;19;19961217;387;14;24.00;10;0.2;30.96;192.00;10385
4692;261;214;19;19961217;387;14;27.20;20;0.2;30.96;435.20;10385
4693;261;222;19;19961217;387;14;10.00;8;0.2;30.96;64.00;10385
4694;207;178;27;19961218;391;15;3.60;15;0;13.99;54.00;10386
4695;207;188;27;19961218;391;15;11.20;10;0;13.99;112.00;10386
4696;256;178;19;19961218;361;14;3.60;15;0;93.63;54.00;10387
4697;256;182;19;19961218;361;14;36.40;6;0;93.63;218.40;10387
4698;256;213;19;19961218;361;14;44.00;12;0;93.63;528.00;10387
4699;256;225;19;19961218;361;14;17.20;15;0;93.63;258.00;10387
4700;258;199;20;19961219;328;13;7.60;15;0.2;34.86;91.20;10388
4701;258;206;20;19961219;328;13;5.60;20;0.2;34.86;89.60;10388
